DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2014,5.457,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2015,5.364,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2016,5.511,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2017,5.501,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2018,5.790,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2019,5.910,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2020,5.725,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2021,6.178,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2022,6.761,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HU,2013,4.271,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HU,2014,4.470,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HU,2015,4.382,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HU,2016,4.423,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HU,2017,4.415,
