country_or_region;date;variable;generation_twh
Europe;2019-04-01;Other Fossil;8.28
Europe;2019-04-01;Other Renewables;2.53
Europe;2019-04-01;Solar;15.02
Europe;2019-04-01;Wind;33.89
Europe;2019-04-01;Wind and solar;48.91
Europe;2019-05-01;Bioenergy;10.69
Europe;2019-05-01;Clean;221.82
Europe;2019-05-01;Coal;58.78
Europe;2019-05-01;Fossil;156.5
Europe;2019-05-01;Gas;89.75
Europe;2019-05-01;Hydro;74.2
Europe;2019-05-01;Nuclear;86.68
Europe;2019-05-01;Other Fossil;7.97
Europe;2019-05-01;Other Renewables;2.51
Europe;2019-05-01;Solar;16.62
Europe;2019-05-01;Wind;31.12
Europe;2019-05-01;Wind and solar;47.74
Europe;2019-06-01;Bioenergy;9.95
Europe;2019-06-01;Clean;212.68
Europe;2019-06-01;Coal;55.82
Europe;2019-06-01;Fossil;152.75
Europe;2019-06-01;Gas;89.77
Europe;2019-06-01;Hydro;72.86
Europe;2019-06-01;Nuclear;81.36
Europe;2019-06-01;Other Fossil;7.16
Europe;2019-06-01;Other Renewables;2.28
Europe;2019-06-01;Solar;19.38
Europe;2019-06-01;Wind;26.85
Europe;2019-06-01;Wind and solar;46.23
Europe;2019-07-01;Bioenergy;10.35
Europe;2019-07-01;Clean;212.85
Europe;2019-07-01;Coal;62.37
Europe;2019-07-01;Fossil;173.56
Europe;2019-07-01;Gas;103.78
Europe;2019-07-01;Hydro;67.86
Europe;2019-07-01;Nuclear;87.39
Europe;2019-07-01;Other Fossil;7.41
Europe;2019-07-01;Other Renewables;2.39
Europe;2019-07-01;Solar;18.97
Europe;2019-07-01;Wind;25.89
Europe;2019-07-01;Wind and solar;44.86
Europe;2019-08-01;Bioenergy;10.42
Europe;2019-08-01;Clean;208.69
Europe;2019-08-01;Coal;60.82
Europe;2019-08-01;Fossil;166.95
Europe;2019-08-01;Gas;98.35
Europe;2019-08-01;Hydro;64.66
Europe;2019-08-01;Nuclear;86.14
Europe;2019-08-01;Other Fossil;7.78
Europe;2019-08-01;Other Renewables;2.36
Europe;2019-08-01;Solar;17.84
Europe;2019-08-01;Wind;27.27
Europe;2019-08-01;Wind and solar;45.11
Europe;2019-09-01;Bioenergy;9.94
Europe;2019-09-01;Clean;205.17
Europe;2019-09-01;Coal;59.86
Europe;2019-09-01;Fossil;166.79
Europe;2019-09-01;Gas;98.88
Europe;2019-09-01;Hydro;58.67
Europe;2019-09-01;Nuclear;85.83
Europe;2019-09-01;Other Fossil;8.05
Europe;2019-09-01;Other Renewables;2.39
Europe;2019-09-01;Solar;13.82
Europe;2019-09-01;Wind;34.52
Europe;2019-09-01;Wind and solar;48.34
